Building curiositybench-synth:latest with depths [2, 4, 6, 8] (k=20, m=6)...
  built.

Computing per-depth ceilings (total reachable branches)...
  depth 2: 60 total branches
  depth 4: 68 total branches
  depth 6: 76 total branches
  depth 8: 84 total branches

Running 60 (depth×strategy×seed) jobs on gemma-4-31B-it (parallel 8)...
2026-05-28 17:30:30,957 INFO: Plan 0: ḡ=31, γE[v]=7.5, Q=38.5
2026-05-28 17:30:31,284 INFO: Plan 1: ḡ=31, γE[v]=0.0, Q=31.0
2026-05-28 17:30:36,480 INFO: Plan 2: ḡ=2, γE[v]=0.5, Q=2.5
2026-05-28 17:30:36,481 INFO: Plan 1: ḡ=2, γE[v]=0.5, Q=2.5
2026-05-28 17:30:36,481 INFO: Selected plan 0 with Q=38.5
2026-05-28 17:30:36,751 INFO: Plan 2: ḡ=2, γE[v]=0.5, Q=2.5
2026-05-28 17:30:36,752 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:30:36,752 INFO: Selected plan 1 with Q=31.0
2026-05-28 17:30:50,925 INFO: Plan 0: ḡ=46, γE[v]=0.0, Q=46.0
2026-05-28 17:30:50,926 INFO: Plan 2: ḡ=48, γE[v]=0.0, Q=48.0
2026-05-28 17:30:50,927 INFO: Plan 1: ḡ=38, γE[v]=0.0, Q=38.0
2026-05-28 17:30:50,927 INFO: Selected plan 2 with Q=48.0
2026-05-28 17:30:53,747 INFO: Plan 0: ḡ=48, γE[v]=0.0, Q=48.0
2026-05-28 17:30:53,748 INFO: Plan 2: ḡ=48, γE[v]=0.0, Q=48.0
2026-05-28 17:30:53,748 INFO: Plan 1: ḡ=36, γE[v]=0.0, Q=36.0
2026-05-28 17:30:53,749 INFO: Selected plan 0 with Q=48.0
2026-05-28 17:31:03,706 INFO: Plan 1: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:31:07,461 INFO: Plan 1: ḡ=22, γE[v]=12.5, Q=34.5
2026-05-28 17:31:07,462 INFO: Plan 2: ḡ=12, γE[v]=12.5, Q=24.5
2026-05-28 17:31:07,463 INFO: Plan 0: ḡ=28, γE[v]=7.5, Q=35.5
2026-05-28 17:31:07,463 INFO: Selected plan 0 with Q=35.5
2026-05-28 17:31:09,267 INFO: Plan 0: ḡ=36, γE[v]=0.0, Q=36.0
2026-05-28 17:31:09,310 INFO: Plan 2: ḡ=2, γE[v]=0.5, Q=2.5
2026-05-28 17:31:09,311 INFO: Plan 2: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:31:09,312 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:31:09,313 INFO: Plan 1: ḡ=32, γE[v]=6.0, Q=38.0
2026-05-28 17:31:09,313 INFO: Selected plan 1 with Q=32.0
2026-05-28 17:31:09,313 INFO: Selected plan 2 with Q=44.0
2026-05-28 17:31:23,646 INFO: Plan 1: ḡ=36, γE[v]=0.0, Q=36.0
2026-05-28 17:31:23,647 INFO: Plan 0: ḡ=38, γE[v]=0.0, Q=38.0
2026-05-28 17:31:23,666 INFO: Plan 2: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:31:23,667 INFO: Selected plan 2 with Q=44.0
2026-05-28 17:31:27,145 INFO: Plan 2: ḡ=45, γE[v]=2.5, Q=47.5
2026-05-28 17:31:27,146 INFO: Plan 1: ḡ=45, γE[v]=2.5, Q=47.5
2026-05-28 17:31:27,165 INFO: Plan 0: ḡ=38, γE[v]=7.0, Q=45.0
2026-05-28 17:31:27,166 INFO: Selected plan 1 with Q=47.5
2026-05-28 17:31:28,958 INFO: Plan 0: ḡ=34, γE[v]=0.0, Q=34.0
2026-05-28 17:31:29,002 INFO: Plan 1: ḡ=28, γE[v]=7.0, Q=35.0
2026-05-28 17:31:29,003 INFO: Plan 2: ḡ=25, γE[v]=10.0, Q=35.0
2026-05-28 17:31:29,003 INFO: Selected plan 1 with Q=35.0
2026-05-28 17:31:40,601 INFO: Plan 0: ḡ=38, γE[v]=0.0, Q=38.0
2026-05-28 17:31:40,621 INFO: Plan 1: ḡ=38, γE[v]=0.0, Q=38.0
2026-05-28 17:31:40,622 INFO: Plan 2: ḡ=48, γE[v]=0.0, Q=48.0
2026-05-28 17:31:40,622 INFO: Selected plan 2 with Q=48.0
2026-05-28 17:31:45,262 INFO: Plan 1: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:31:45,263 INFO: Plan 0: ḡ=31, γE[v]=6.0, Q=37.0
2026-05-28 17:31:45,266 INFO: Plan 2: ḡ=28, γE[v]=7.5, Q=35.5
2026-05-28 17:31:45,267 INFO: Selected plan 1 with Q=42.5
2026-05-28 17:31:45,617 INFO: Plan 2: ḡ=26, γE[v]=6.0, Q=32.0
2026-05-28 17:31:45,618 INFO: Plan 1: ḡ=27, γE[v]=6.0, Q=33.0
2026-05-28 17:31:45,619 INFO: Plan 0: ḡ=26, γE[v]=12.5, Q=38.5
2026-05-28 17:31:45,619 INFO: Selected plan 0 with Q=38.5
2026-05-28 17:32:00,093 INFO: Plan 0: ḡ=48, γE[v]=0.0, Q=48.0
2026-05-28 17:32:00,094 INFO: Plan 2: ḡ=34, γE[v]=0.0, Q=34.0
2026-05-28 17:32:00,095 INFO: Plan 1: ḡ=38, γE[v]=0.0, Q=38.0
2026-05-28 17:32:00,095 INFO: Selected plan 0 with Q=48.0
2026-05-28 17:32:03,677 INFO: Plan 1: ḡ=36, γE[v]=0.0, Q=36.0
2026-05-28 17:32:03,698 INFO: Plan 0: ḡ=31, γE[v]=11.5, Q=42.5
2026-05-28 17:32:03,699 INFO: Plan 2: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:32:03,699 INFO: Selected plan 2 with Q=44.0
2026-05-28 17:32:04,033 INFO: Plan 2: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:32:04,034 INFO: Plan 1: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:32:04,035 INFO: Plan 0: ḡ=28, γE[v]=7.5, Q=35.5
2026-05-28 17:32:04,036 INFO: Selected plan 1 with Q=44.0
2026-05-28 17:32:16,141 INFO: Plan 2: ḡ=38, γE[v]=0.0, Q=38.0
2026-05-28 17:32:16,163 INFO: Plan 1: ḡ=35, γE[v]=6.0, Q=41.0
2026-05-28 17:32:16,164 INFO: Plan 0: ḡ=28, γE[v]=7.5, Q=35.5
2026-05-28 17:32:16,164 INFO: Selected plan 1 with Q=41.0
2026-05-28 17:32:21,632 INFO: Plan 1: ḡ=48, γE[v]=0.0, Q=48.0
2026-05-28 17:32:21,633 INFO: Plan 0: ḡ=48, γE[v]=0.0, Q=48.0
2026-05-28 17:32:21,653 INFO: Plan 2: ḡ=28, γE[v]=11.0, Q=39.0
2026-05-28 17:32:21,654 INFO: Selected plan 0 with Q=48.0
2026-05-28 17:32:22,927 INFO: Plan 2: ḡ=38, γE[v]=0.0, Q=38.0
2026-05-28 17:32:22,928 INFO: Plan 0: ḡ=35, γE[v]=0.0, Q=35.0
2026-05-28 17:32:22,948 INFO: Plan 1: ḡ=34, γE[v]=6.0, Q=40.0
2026-05-28 17:32:22,948 INFO: Selected plan 1 with Q=40.0
2026-05-28 17:32:33,446 INFO: Plan 1: ḡ=28, γE[v]=0.0, Q=28.0
2026-05-28 17:32:33,468 INFO: Plan 2: ḡ=33, γE[v]=0.0, Q=33.0
2026-05-28 17:32:33,469 INFO: Plan 0: ḡ=32, γE[v]=6.0, Q=38.0
2026-05-28 17:32:33,469 INFO: Selected plan 0 with Q=38.0
2026-05-28 17:32:39,715 INFO: Plan 0: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:32:39,716 INFO: Plan 1: ḡ=42, γE[v]=6.0, Q=48.0
2026-05-28 17:32:39,736 INFO: Plan 2: ḡ=44, γE[v]=6.0, Q=50.0
2026-05-28 17:32:39,737 INFO: Selected plan 2 with Q=50.0
2026-05-28 17:32:40,513 INFO: Plan 2: ḡ=28, γE[v]=7.5, Q=35.5
2026-05-28 17:32:40,513 INFO: Plan 1: ḡ=28, γE[v]=7.5, Q=35.5
2026-05-28 17:32:40,514 INFO: Plan 0: ḡ=28, γE[v]=12.0, Q=40.0
2026-05-28 17:32:40,515 INFO: Selected plan 0 with Q=40.0
2026-05-28 17:32:57,564 INFO: Plan 1: ḡ=46, γE[v]=0.0, Q=46.0
2026-05-28 17:32:57,584 INFO: Plan 0: ḡ=42, γE[v]=6.0, Q=48.0
2026-05-28 17:32:57,585 INFO: Plan 2: ḡ=45, γE[v]=6.0, Q=51.0
2026-05-28 17:32:57,585 INFO: Selected plan 2 with Q=51.0
2026-05-28 17:33:16,957 INFO: Plan 1: ḡ=42, γE[v]=0.0, Q=42.0
2026-05-28 17:33:16,958 INFO: Plan 2: ḡ=42, γE[v]=0.0, Q=42.0
2026-05-28 17:33:16,976 INFO: Plan 0: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:33:16,981 INFO: Selected plan 0 with Q=44.0
2026-05-28 17:35:03,047 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:35:03,048 INFO: Plan 2: ḡ=4, γE[v]=0.5, Q=4.5
2026-05-28 17:35:03,048 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
