
Computing per-depth ceilings (total reachable branches)...
  depth 2: 66 total branches
  depth 4: 76 total branches
  depth 6: 86 total branches
  depth 8: 96 total branches

Running 128 (depth×strategy×seed) jobs on gemma-4-31B-it (parallel 12)...
2026-09-23 16:18:52,264 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0 (fn)
2026-09-23 16:18:52,818 INFO: Plan 0: ḡ=17, γE[v]=26.0, Q=43.0 (fn)
2026-09-23 16:18:53,666 INFO: Plan 1: ḡ=75, γE[v]=6.0, Q=81.0 (fn)
2026-09-23 16:18:53,666 INFO: Plan 0: ḡ=8.5, γE[v]=18.7, Q=27.2 (bayes)
2026-09-23 16:18:53,667 INFO: Plan 1: ḡ=37.5, γE[v]=3.3, Q=40.8 (bayes)
2026-09-23 16:18:53,667 INFO: Plan 2: ḡ=6.0, γE[v]=18.8, Q=24.8 (bayes)
2026-09-23 16:18:57,153 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-23 16:18:58,123 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-23 16:18:58,388 INFO: Plan 1: ḡ=75, γE[v]=6.0, Q=81.0 (fn)
2026-09-23 16:18:58,532 INFO: Plan 0: ḡ=17, γE[v]=26.0, Q=43.0 (fn)
2026-09-23 16:18:58,784 INFO: Plan 0: ḡ=17, γE[v]=35.0, Q=52.0 (fn)
2026-09-23 16:18:58,785 INFO: Plan 0: ḡ=8.5, γE[v]=19.1, Q=27.6 (bayes)
2026-09-23 16:18:58,785 INFO: Plan 1: ḡ=37.5, γE[v]=3.3, Q=40.8 (bayes)
2026-09-23 16:18:58,785 INFO: Plan 2: ḡ=9.0, γE[v]=17.2, Q=26.2 (bayes)
2026-09-23 16:18:58,855 INFO: Plan 1: ḡ=87, γE[v]=0.0, Q=87.0 (fn)
2026-09-23 16:18:58,856 INFO: Plan 0: ḡ=8.5, γE[v]=18.7, Q=27.2 (bayes)
