
Computing per-depth ceilings (total reachable branches)...
  depth 2: 66 total branches
  depth 4: 76 total branches
  depth 6: 86 total branches
  depth 8: 96 total branches

Running 36 (depth×strategy×seed) jobs on gemma-4-31B-it (parallel 12)...
2026-09-22 15:06:20,116 INFO: Plan 2: ḡ=18, γE[v]=6.0, Q=24.0
2026-09-22 15:06:20,117 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:06:20,118 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:06:20,119 INFO: Selected plan 2 with Q=24.0
2026-09-22 15:06:21,168 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:06:21,169 INFO: Plan 2: ḡ=18, γE[v]=7.5, Q=25.5
2026-09-22 15:06:21,170 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:06:21,170 INFO: Selected plan 2 with Q=25.5
2026-09-22 15:06:21,584 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:06:21,585 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:06:21,586 INFO: Plan 1: ḡ=18, γE[v]=11.0, Q=29.0
2026-09-22 15:06:21,586 INFO: Selected plan 1 with Q=29.0
2026-09-22 15:06:39,008 INFO: Plan 0: ḡ=10, γE[v]=7.5, Q=17.5
2026-09-22 15:06:39,035 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:06:39,036 INFO: Plan 2: ḡ=10, γE[v]=7.5, Q=17.5
2026-09-22 15:06:39,036 INFO: Selected plan 1 with Q=19.5
2026-09-22 15:06:43,226 INFO: Plan 1: ḡ=10, γE[v]=7.5, Q=17.5
2026-09-22 15:06:43,227 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:06:43,249 INFO: Plan 2: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:06:43,250 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:06:44,941 INFO: Plan 1: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:06:44,967 INFO: Plan 2: ḡ=12, γE[v]=9.0, Q=21.0
2026-09-22 15:06:44,968 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:06:44,968 INFO: Selected plan 2 with Q=21.0
2026-09-22 15:06:58,341 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0
2026-09-22 15:06:58,342 INFO: Plan 0: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:06:58,364 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:06:58,365 INFO: Selected plan 1 with Q=19.5
2026-09-22 15:07:01,272 INFO: Plan 0: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:07:01,273 INFO: Plan 1: ḡ=12, γE[v]=2.5, Q=14.5
2026-09-22 15:07:01,274 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:01,275 INFO: Selected plan 0 with Q=16.0
2026-09-22 15:07:02,921 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:02,922 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:02,946 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:07:02,946 INFO: Selected plan 1 with Q=19.5
