
Computing per-depth ceilings (total reachable branches)...
  depth 2: 66 total branches
  depth 4: 76 total branches
  depth 6: 86 total branches
  depth 8: 96 total branches

Running 48 (depth×strategy×seed) jobs on gemma-4-31B-it (parallel 16)...
2026-09-22 15:35:41,355 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0 (fn)
2026-09-22 15:35:41,379 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0 (fn)
2026-09-22 15:35:41,939 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0 (fn)
2026-09-22 15:35:42,447 INFO: Plan 0: ḡ=17, γE[v]=0.0, Q=17.0 (fn)
2026-09-22 15:35:42,519 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:35:43,154 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:35:43,348 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0 (fn)
2026-09-22 15:35:43,517 INFO: Plan 1: ḡ=75, γE[v]=0.0, Q=75.0 (fn)
2026-09-22 15:35:43,518 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0 (fn)
2026-09-22 15:35:43,564 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0 (fn)
2026-09-22 15:35:43,660 INFO: Plan 0: ḡ=13, γE[v]=0.0, Q=13.0 (fn)
2026-09-22 15:35:43,731 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:35:43,756 INFO: Plan 0: ḡ=17, γE[v]=26.0, Q=43.0 (fn)
2026-09-22 15:35:43,801 INFO: Plan 1: ḡ=75, γE[v]=0.0, Q=75.0 (fn)
2026-09-22 15:35:44,380 INFO: Plan 1: ḡ=75, γE[v]=6.0, Q=81.0 (fn)
2026-09-22 15:35:44,381 INFO: Plan 1: ḡ=75, γE[v]=6.0, Q=81.0 (fn)
2026-09-22 15:35:44,401 INFO: Plan 1: ḡ=93, γE[v]=0.0, Q=93.0 (fn)
2026-09-22 15:35:44,494 INFO: Plan 0: ḡ=26, γE[v]=0.0, Q=26.0 (fn)
2026-09-22 15:35:45,115 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:35:45,160 INFO: Plan 1: ḡ=75, γE[v]=0.0, Q=75.0 (fn)
2026-09-22 15:35:45,161 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0 (fn)
2026-09-22 15:35:45,182 INFO: Plan 1: ḡ=81, γE[v]=0.0, Q=81.0 (fn)
2026-09-22 15:35:45,205 INFO: Plan 0: ḡ=17, γE[v]=0.0, Q=17.0 (fn)
2026-09-22 15:35:45,233 INFO: Plan 1: ḡ=75, γE[v]=6.0, Q=81.0 (fn)
2026-09-22 15:35:45,558 INFO: Plan 1: ḡ=93, γE[v]=0.0, Q=93.0 (fn)
2026-09-22 15:35:45,789 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:35:45,811 INFO: Plan 0: ḡ=69, γE[v]=0.0, Q=69.0 (fn)
2026-09-22 15:35:45,855 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:35:45,900 INFO: Plan 0: ḡ=17, γE[v]=35.0, Q=52.0 (fn)
2026-09-22 15:35:45,984 INFO: Plan 0: ḡ=32, γE[v]=0.0, Q=32.0 (fn)
2026-09-22 15:35:46,090 INFO: Plan 0: ḡ=17, γE[v]=0.0, Q=17.0 (fn)
2026-09-22 15:35:46,091 INFO: Plan 0: ḡ=13, γE[v]=0.0, Q=13.0 (fn)
2026-09-22 15:35:46,109 INFO: Plan 1: ḡ=75, γE[v]=0.0, Q=75.0 (fn)
2026-09-22 15:35:46,440 INFO: Plan 1: ḡ=75, γE[v]=0.0, Q=75.0 (fn)
2026-09-22 15:35:46,441 INFO: Plan 1: ḡ=81, γE[v]=3.0, Q=84.0 (fn)
2026-09-22 15:35:46,513 INFO: Plan 0: ḡ=17, γE[v]=0.0, Q=17.0 (fn)
