
Computing per-depth ceilings (total reachable branches)...
  depth 8: 96 total branches

Running 12 (depth×strategy×seed) jobs on gemma-4-31B-it (parallel 12)...
2026-09-22 15:59:14,547 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:59:14,590 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:59:14,958 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:59:15,682 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:59:15,990 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:59:16,442 INFO: Plan 1: ḡ=98, γE[v]=21.5, Q=119.5 (fn)
2026-09-22 15:59:16,624 INFO: Plan 1: ḡ=141, γE[v]=0.0, Q=141.0 (fn)
2026-09-22 15:59:16,712 INFO: Plan 0: ḡ=35, γE[v]=44.0, Q=79.0 (fn)
2026-09-22 15:59:16,801 INFO: Plan 0: ḡ=41, γE[v]=44.0, Q=85.0 (fn)
2026-09-22 15:59:16,847 INFO: Plan 1: ḡ=141, γE[v]=0.0, Q=141.0 (fn)
2026-09-22 15:59:17,143 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:59:17,385 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:59:17,578 INFO: Plan 1: ḡ=141, γE[v]=0.0, Q=141.0 (fn)
2026-09-22 15:59:17,663 INFO: Plan 0: ḡ=35, γE[v]=0.0, Q=35.0 (fn)
2026-09-22 15:59:17,664 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
2026-09-22 15:59:18,198 INFO: Plan 1: ḡ=141, γE[v]=0.0, Q=141.0 (fn)
2026-09-22 15:59:18,262 INFO: Plan 0: ḡ=44, γE[v]=48.5, Q=92.5 (fn)
2026-09-22 15:59:18,839 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0 (fn)
