======================================================================
TestGenEval Lite
  Examples: 160 across 11 repos
    astropy/astropy: 3
    django/django: 66
    matplotlib/matplotlib: 7
    mwaskom/seaborn: 2
    pallets/flask: 1
    pydata/xarray: 3
    pylint-dev/pylint: 2
    pytest-dev/pytest: 12
    scikit-learn/scikit-learn: 20
    sphinx-doc/sphinx: 2
    sympy/sympy: 42
  Strategies: ['cov_qvalue_exec']
  Seeds: [42]
  Exec budget: 24
  Total runs: 160
======================================================================
  Connectivity: OK

Running 160 targets with 4 workers...
  [1/160] sphinx/util/typing.py (sphinx-doc/sphinx v3.5): {'cov_qvalue_exec': 2}
  [2/160] astropy/wcs/wcs.py (astropy/astropy v1.3): {'cov_qvalue_exec': 8}
  [3/160] sympy/physics/units/util.py (sympy/sympy v1.8): {'cov_qvalue_exec': 13}
  [4/160] lib/mpl_toolkits/axes_grid1/axes_grid.py (matplotlib/matplotlib v3.7): {'cov_qvalue_exec': 23}
  [5/160] sympy/geometry/util.py (sympy/sympy v1.4): {'cov_qvalue_exec': 27}
  [6/160] sympy/printing/pretty/pretty.py (sympy/sympy v1.11): {'cov_qvalue_exec': 59}
  [7/160] sympy/printing/pretty/pretty.py (sympy/sympy v1.8): {'cov_qvalue_exec': 77}
  [8/160] sympy/utilities/iterables.py (sympy/sympy v1.6): {'cov_qvalue_exec': 31}
  [9/160] django/views/debug.py (django/django v3.1): {'cov_qvalue_exec': 52}
  [10/160] sympy/utilities/iterables.py (sympy/sympy v1.7): {'cov_qvalue_exec': 31}
  [11/160] django/views/debug.py (django/django v3.0): {'cov_qvalue_exec': 65}
  [12/160] django/forms/models.py (django/django v4.0): {'cov_qvalue_exec': 67}
  [13/160] xarray/core/formatting.py (pydata/xarray v0.12): {'cov_qvalue_exec': 14}
  [14/160] lib/matplotlib/figure.py (matplotlib/matplotlib v3.7): {'cov_qvalue_exec': 114}
  [15/160] sympy/core/function.py (sympy/sympy v1.9): {'cov_qvalue_exec': 22}
  [16/160] sympy/printing/latex.py (sympy/sympy v1.8): {'cov_qvalue_exec': 92}
  [17/160] sklearn/metrics/cluster/_supervised.py (scikit-learn/scikit-learn v0.22): {'cov_qvalue_exec': 0}
  [18/160] sympy/printing/latex.py (sympy/sympy v1.1): {'cov_qvalue_exec': 73}
  [19/160] sympy/printing/latex.py (sympy/sympy v1.1): {'cov_qvalue_exec': 77}
  [20/160] django/forms/models.py (django/django v4.1): {'cov_qvalue_exec': 57}
